video_id,label,split,manipulation_family,detector_score,n_frames,detector_pred,y,video_score_mode
Celeb-real__id0_0007__4f22f911,real,val,,0.5411146157421172,80,1,0,ucf_mean
Celeb-real__id10_0007__841eee79,real,test,,0.3947143147149718,83,0,0,ucf_mean
Celeb-real__id10_0009__00911e7c,real,test,,0.4494966821538077,90,0,0,ucf_mean
Celeb-real__id11_0003__52787b89,real,train,,0.3777909864372802,53,0,0,ucf_mean
Celeb-real__id12_0006__637d998d,real,train,,0.7807604507184945,52,1,0,ucf_mean
Celeb-real__id13_0008__0323fc47,real,train,,0.4015703479481208,77,0,0,ucf_mean
Celeb-real__id13_0011__dee78c96,real,train,,0.5458906072382934,78,1,0,ucf_mean
Celeb-real__id13_0012__14e6d503,real,train,,0.28134666674715625,85,0,0,ucf_mean
Celeb-real__id16_0002__b8fb1d0e,real,train,,0.467262655801949,61,0,0,ucf_mean
Celeb-real__id16_0012__e75472a5,real,train,,0.48361561125001085,52,0,0,ucf_mean
Celeb-real__id17_0001__a0719102,real,train,,0.692098469104407,53,1,0,ucf_mean
Celeb-real__id19_0000__795a8811,real,test,,0.16298173869198015,55,0,0,ucf_mean
Celeb-real__id19_0003__02a18478,real,test,,0.8451173389167116,57,1,0,ucf_mean
Celeb-real__id20_0009__f207e1ab,real,train,,0.37134790793061256,56,0,0,ucf_mean
Celeb-real__id22_0000__8dfd7fca,real,test,,0.30597517486004266,34,0,0,ucf_mean
Celeb-real__id22_0002__0a374460,real,test,,0.41046407481189817,48,0,0,ucf_mean
Celeb-real__id22_0009__54037f2f,real,test,,0.27629718174492673,56,0,0,ucf_mean
Celeb-real__id24_0003__a477989b,real,test,,0.8854930389810491,54,1,0,ucf_mean
Celeb-real__id26_0002__03f51103,real,train,,0.7274524172147115,54,1,0,ucf_mean
Celeb-real__id26_0004__4d0db3c5,real,train,,0.23605924936295564,59,0,0,ucf_mean
Celeb-real__id26_0007__9c43457d,real,train,,0.7846684816636538,57,1,0,ucf_mean
Celeb-real__id2_0005__15f721cc,real,train,,0.4796288042114331,52,0,0,ucf_mean
Celeb-real__id32_0000__db87de7a,real,val,,0.3610221333368573,86,0,0,ucf_mean
Celeb-real__id32_0005__021bfb27,real,val,,0.12945373572357408,72,0,0,ucf_mean
Celeb-real__id34_0004__7db04b4e,real,train,,0.2521468724206655,79,0,0,ucf_mean
Celeb-real__id34_0009__cd230554,real,train,,0.35209536821477944,81,0,0,ucf_mean
Celeb-real__id35_0004__7feab975,real,train,,0.7375014264916264,43,1,0,ucf_mean
Celeb-real__id38_0001__1d13fa2e,real,train,,0.649788445031101,44,1,0,ucf_mean
Celeb-real__id38_0009__995f2d62,real,train,,0.6799413245171309,98,1,0,ucf_mean
Celeb-real__id3_0002__761ecc87,real,val,,0.20431933127757573,72,0,0,ucf_mean
Celeb-real__id3_0005__7f0fa90a,real,val,,0.4225598198375595,67,0,0,ucf_mean
Celeb-real__id40_0009__468be181,real,train,,0.9580545549122792,53,1,0,ucf_mean
Celeb-real__id41_0007__0653214a,real,train,,0.7269372764442649,56,1,0,ucf_mean
Celeb-real__id42_0002__14b1cf34,real,train,,0.802880124944561,53,1,0,ucf_mean
Celeb-real__id43_0001__fd0241c3,real,test,,0.7881818335307272,57,1,0,ucf_mean
Celeb-real__id44_0004__d999d2a1,real,train,,0.41694455028378535,56,0,0,ucf_mean
Celeb-real__id45_0003__7a35f091,real,val,,0.9241832483489558,53,1,0,ucf_mean
Celeb-real__id48_0005__ca92396c,real,val,,0.5761817446244615,56,1,0,ucf_mean
Celeb-real__id4_0004__f056bf39,real,train,,0.40505915109974305,74,0,0,ucf_mean
Celeb-real__id50_0002__47f9542c,real,train,,0.7431538855800262,78,1,0,ucf_mean
Celeb-real__id54_0004__3e0ab6d0,real,test,,0.649690660187997,83,1,0,ucf_mean
Celeb-real__id56_0003__06f01a30,real,train,,0.3547659846891959,75,0,0,ucf_mean
Celeb-real__id57_0009__d229d131,real,train,,0.6933854964694807,56,1,0,ucf_mean
Celeb-real__id58_0005__438712ba,real,train,,0.6879630452626712,77,1,0,ucf_mean
Celeb-real__id58_0009__90542e80,real,train,,0.6801147321859996,75,1,0,ucf_mean
Celeb-real__id59_0004__f661bba5,real,train,,0.6192192668095231,64,1,0,ucf_mean
Celeb-real__id5_0001__7446e574,real,train,,0.2926829057105351,64,0,0,ucf_mean
Celeb-real__id60_0004__472077b3,real,train,,0.437477623698888,54,0,0,ucf_mean
Celeb-real__id8_0006__adb013b8,real,test,,0.07197138023844288,86,0,0,ucf_mean
Celeb-real__id9_0006__70777999,real,train,,0.6764802201025522,67,1,0,ucf_mean
Celeb-synthesis__FaceReenact__DaGAN__id33_id29_0004__7682830d,fake,train,FaceReenact,0.8447989513639544,61,1,1,ucf_mean
Celeb-synthesis__FaceReenact__DaGAN__id4_id30_0000__e5f244df,fake,train,FaceReenact,0.9449688424455359,47,1,1,ucf_mean
Celeb-synthesis__FaceReenact__DaGAN__id4_id35_0003__6c161c5c,fake,train,FaceReenact,0.6154668016457244,76,1,1,ucf_mean
Celeb-synthesis__FaceReenact__DaGAN__id60_id5_0001__0b9da620,fake,train,FaceReenact,0.7621245561167598,64,1,1,ucf_mean
Celeb-synthesis__FaceReenact__FSRT__id0_id28_0009__d2827330,fake,val,FaceReenact,0.9146247114761766,83,1,1,ucf_mean
Celeb-synthesis__FaceReenact__FSRT__id25_id26_0004__12d93b6b,fake,train,FaceReenact,0.9408483542501926,32,1,1,ucf_mean
Celeb-synthesis__FaceReenact__FSRT__id43_id48_0001__84733427,fake,test,FaceReenact,0.9573038790536963,69,1,1,ucf_mean
Celeb-synthesis__FaceReenact__FSRT__id50_id56_0007__1fcbdab6,fake,train,FaceReenact,0.9919253219257701,55,1,1,ucf_mean
Celeb-synthesis__FaceReenact__FSRT__id9_id21_0001__c5b28789,fake,train,FaceReenact,0.9166594686962309,63,1,1,ucf_mean
Celeb-synthesis__FaceReenact__HyperReenact__id19_id23_0009__210ba216,fake,test,FaceReenact,0.9164554703803289,21,1,1,ucf_mean
Celeb-synthesis__FaceReenact__HyperReenact__id20_id25_0002__937fed2b,fake,train,FaceReenact,0.9633896208944774,21,1,1,ucf_mean
Celeb-synthesis__FaceReenact__HyperReenact__id22_id23_0001__6311249c,fake,test,FaceReenact,0.8201724347614107,21,1,1,ucf_mean
Celeb-synthesis__FaceReenact__HyperReenact__id32_id37_0005__bb52fb8b,fake,val,FaceReenact,0.5615516727169355,21,1,1,ucf_mean
Celeb-synthesis__FaceReenact__HyperReenact__id37_id38_0000__58851390,fake,train,FaceReenact,0.9282501254762922,21,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LIA__id16_id1_0000__72abce34,fake,train,FaceReenact,0.985630211282949,61,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LIA__id19_id23_0004__128b77dc,fake,test,FaceReenact,0.4872890181011624,9,0,1,ucf_mean
Celeb-synthesis__FaceReenact__LIA__id1_id17_0006__8fc47d98,fake,test,FaceReenact,0.9101482533356723,34,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LIA__id21_id19_0009__c57838b7,fake,val,FaceReenact,0.9415294514145962,43,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LIA__id61_id59_0002__c790fdd0,fake,train,FaceReenact,0.6895277670451573,28,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LivePortrait__id10_id13_0008__6efc05f1,fake,test,FaceReenact,0.9725687186439316,77,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LivePortrait__id19_id21_0007__427ee4ef,fake,test,FaceReenact,0.7634933222577257,53,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LivePortrait__id20_id24_0005__01977817,fake,train,FaceReenact,0.7382923077073014,57,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LivePortrait__id32_id23_0002__2f2d89a9,fake,val,FaceReenact,0.880393264470277,54,1,1,ucf_mean
Celeb-synthesis__FaceReenact__LivePortrait__id32_id30_0003__e4e378ea,fake,val,FaceReenact,0.4864790677269803,79,0,1,ucf_mean
Celeb-synthesis__FaceReenact__MCNET__id26_id37_0001__73dbc31f,fake,train,FaceReenact,0.989706708037335,23,1,1,ucf_mean
Celeb-synthesis__FaceReenact__MCNET__id35_id32_0006__a525f209,fake,train,FaceReenact,0.7278794050216675,2,1,1,ucf_mean
Celeb-synthesis__FaceReenact__MCNET__id4_id35_0004__7ea18215,fake,train,FaceReenact,0.7646550390691984,42,1,1,ucf_mean
Celeb-synthesis__FaceReenact__MCNET__id54_id52_0003__6e6f12a1,fake,test,FaceReenact,0.908931776881218,78,1,1,ucf_mean
Celeb-synthesis__FaceReenact__MCNET__id54_id53_0001__49ea4084,fake,test,FaceReenact,0.8408901615576311,55,1,1,ucf_mean
Celeb-synthesis__FaceReenact__TPSMM__id28_id9_0000__94ef95bd,fake,train,FaceReenact,0.9508958117167154,75,1,1,ucf_mean
Celeb-synthesis__FaceReenact__TPSMM__id33_id21_0005__cb3ccadf,fake,train,FaceReenact,0.7766732009393829,28,1,1,ucf_mean
