frame_path,detector_score,label,video_id
YouTube-real__00188__1dfcd8c6/frame_000022.jpg,0.39095380902290344,0,YouTube-real__00188__1dfcd8c6
YouTube-real__00166__c51d6bde/frame_000026.jpg,0.08993416279554367,0,YouTube-real__00166__c51d6bde
Celeb-synthesis__TalkingFace__SadTalker__id52_0001_test_id05999_nDjFzNd5qNQ__09ca3e40/frame_000010.jpg,0.17658795416355133,1,Celeb-synthesis__TalkingFace__SadTalker__id52_0001_test_id05999_nDjFzNd5qNQ__09ca3e40
Celeb-real__id10_0000__9273e8bc/frame_000026.jpg,0.11550017446279526,0,Celeb-real__id10_0000__9273e8bc
Celeb-synthesis__FaceReenact__FSRT__id54_id56_0002__3a49963f/frame_000017.jpg,0.8790431022644043,1,Celeb-synthesis__FaceReenact__FSRT__id54_id56_0002__3a49963f
YouTube-real__00206__5a5fdf70/frame_000005.jpg,0.4333055317401886,0,YouTube-real__00206__5a5fdf70
YouTube-real__00269__8f759e63/frame_000007.jpg,0.4062536954879761,0,YouTube-real__00269__8f759e63
Celeb-synthesis__FaceReenact__TPSMM__id50_id57_0001__7ad6b6a4/frame_000015.jpg,0.8746816515922546,1,Celeb-synthesis__FaceReenact__TPSMM__id50_id57_0001__7ad6b6a4
Celeb-synthesis__FaceReenact__HyperReenact__id50_id53_0004__6aa45385/frame_000013.jpg,0.7412235736846924,1,Celeb-synthesis__FaceReenact__HyperReenact__id50_id53_0004__6aa45385
Celeb-real__id10_0004__2f2a56d2/frame_000027.jpg,0.19455093145370483,0,Celeb-real__id10_0004__2f2a56d2
Celeb-synthesis__FaceSwap__Celeb-DF-v2__id50_id56_0000__d849d5e0/frame_000006.jpg,0.14260534942150116,1,Celeb-synthesis__FaceSwap__Celeb-DF-v2__id50_id56_0000__d849d5e0
Celeb-real__id23_0003__a72d5360/frame_000003.jpg,0.26340770721435547,0,Celeb-real__id23_0003__a72d5360
Celeb-synthesis__FaceReenact__MCNET__id23_id35_0006__7782fba1/frame_000002.jpg,0.9160548448562622,1,Celeb-synthesis__FaceReenact__MCNET__id23_id35_0006__7782fba1
Celeb-real__id24_0003__a477989b/frame_000013.jpg,0.35681676864624023,0,Celeb-real__id24_0003__a477989b
Celeb-synthesis__FaceSwap__GHOST__id24_id23_0009__2bd974c6/frame_000017.jpg,0.27777308225631714,1,Celeb-synthesis__FaceSwap__GHOST__id24_id23_0009__2bd974c6
Celeb-synthesis__FaceReenact__LIA__id1_id0_0009__bf3b87a6/frame_000016.jpg,0.10648104548454285,1,Celeb-synthesis__FaceReenact__LIA__id1_id0_0009__bf3b87a6
Celeb-synthesis__TalkingFace__EDTalk__id24_0002_test_id01228_SJQOZPMPSSg__56304908/frame_000002.jpg,0.4670634865760803,1,Celeb-synthesis__TalkingFace__EDTalk__id24_0002_test_id01228_SJQOZPMPSSg__56304908
Celeb-synthesis__FaceSwap__MobileFaceSwap__id1_id37_0003__39ac8828/frame_000017.jpg,0.18404057621955872,1,Celeb-synthesis__FaceSwap__MobileFaceSwap__id1_id37_0003__39ac8828
Celeb-synthesis__TalkingFace__SadTalker__id54_0002_test_id03981_WtHDD38CbYE__17aa1a91/frame_000021.jpg,0.8228179216384888,1,Celeb-synthesis__TalkingFace__SadTalker__id54_0002_test_id03981_WtHDD38CbYE__17aa1a91
Celeb-synthesis__TalkingFace__IP_LAP__id52_0008_test_id02317_U9C74tfLcqc__22508245/frame_000004.jpg,0.7632265686988831,1,Celeb-synthesis__TalkingFace__IP_LAP__id52_0008_test_id02317_U9C74tfLcqc__22508245
Celeb-real__id50_0004__81ceaea0/frame_000026.jpg,0.3956886827945709,0,Celeb-real__id50_0004__81ceaea0
YouTube-real__00188__1dfcd8c6/frame_000007.jpg,0.344097375869751,0,YouTube-real__00188__1dfcd8c6
YouTube-real__00214__25dcc0b1/frame_000004.jpg,0.45163044333457947,0,YouTube-real__00214__25dcc0b1
Celeb-synthesis__FaceReenact__LIA__id1_id0_0009__bf3b87a6/frame_000027.jpg,0.4776996076107025,1,Celeb-synthesis__FaceReenact__LIA__id1_id0_0009__bf3b87a6
Celeb-synthesis__FaceReenact__DaGAN__id10_id11_0006__3712bab8/frame_000016.jpg,0.582547128200531,1,Celeb-synthesis__FaceReenact__DaGAN__id10_id11_0006__3712bab8
