feature,importance,method,importance_share
face_det_score_mean,0.6850567,mean_abs_shap,0.38786668
n_face_frames,0.44182336,mean_abs_shap,0.25015238
blur_laplacian_std,0.38233998,mean_abs_shap,0.21647397
face_height_mean,0.079754844,mean_abs_shap,0.04515575
detector_frame_score_min,0.07433704,mean_abs_shap,0.04208829
face_area_mean,0.03436438,mean_abs_shap,0.019456489
face_area_std,0.032172523,mean_abs_shap,0.0182155
detector_frame_score_std,0.015737051,mean_abs_shap,0.008910033
blur_laplacian_mean,0.014265101,mean_abs_shap,0.008076642
detector_frame_score_max,0.0063658613,mean_abs_shap,0.0036042354
detector_score,0.0,mean_abs_shap,0.0
face_det_score_std,0.0,mean_abs_shap,0.0
face_width_mean,0.0,mean_abs_shap,0.0
