dominant_emotion,mean_gate_det,mean_gate_emo,mean_gate_qual,n,dominant_modality
elation,0.09941973494613864,0.6976582315286007,0.20292202405942575,136,emo
thankfulness_gratitude,0.025184072746909092,0.6058509405454546,0.3689649938636364,11,emo
contentment,0.17463745446514448,0.5883241594952311,0.23703838481365958,282,emo
astonishment_surprise,0.12424927120467133,0.5859369272533216,0.28981379935752016,263,emo
anger,0.028820365849113776,0.5775013417584038,0.39367831087349997,20,emo
embarrassment,0.1419819693062909,0.55958243398419,0.2984356014392294,17,emo
interest,0.13877221809792942,0.4212497081874118,0.43997807207647055,17,qual
disappointment,0.309446504565207,0.39499690200892,0.295556614447,10,emo
amusement,0.24888031576269287,0.29573520387985713,0.4553844847114286,14,qual
sexual_lust,0.19422415687272257,0.2510739046849389,0.5547019335000001,18,qual
