generator,forgery_family,n_fake,n_real_paired,auc_threemodality,auc_ucf,delta_auc,mean_gate_q,mean_gate_s,mean_gate_t,dominant_modality,mean_pred_score
LivePortrait,FaceReenact,19,400,0.9354,0.6354,0.3,0.2469,0.4368,0.3163,emotion_static,0.8035
DaGAN,FaceReenact,19,400,0.9961,0.6978,0.2983,0.6576,0.0236,0.3188,quality,0.994
HyperReenact,FaceReenact,19,400,0.9841,0.6975,0.2866,0.4794,0.342,0.1786,quality,0.9658
MCNET,FaceReenact,17,400,0.9732,0.7126,0.2606,0.5323,0.2492,0.2184,quality,0.9305
LIA,FaceReenact,19,400,0.9861,0.8234,0.1626,0.4781,0.3403,0.1816,quality,0.9702
FSRT,FaceReenact,19,400,0.9308,0.8322,0.0986,0.3168,0.3717,0.3115,emotion_static,0.7724
TPSMM,FaceReenact,17,400,0.9399,0.8732,0.0666,0.4222,0.4329,0.1449,emotion_static,0.8009
SimSwap,FaceSwap,16,400,0.8969,0.5648,0.332,0.117,0.6271,0.2559,emotion_static,0.8368
GHOST,FaceSwap,17,400,0.9187,0.6459,0.2728,0.3249,0.398,0.2771,emotion_static,0.7433
HifiFace,FaceSwap,17,400,0.9281,0.7038,0.2243,0.2647,0.5116,0.2236,emotion_static,0.7861
MobileFaceSwap,FaceSwap,16,400,0.8108,0.6634,0.1473,0.2349,0.4687,0.2965,emotion_static,0.5138
UniFace,FaceSwap,16,400,0.8516,0.7556,0.0959,0.3312,0.2896,0.3791,emotion_temporal,0.7058
BlendFace,FaceSwap,17,400,0.8774,0.8141,0.0632,0.199,0.6834,0.1176,emotion_static,0.7368
InSwapper,FaceSwap,17,400,0.9269,0.9332,-0.0063,0.3971,0.3506,0.2524,quality,0.7764
CelebDFv2,FaceSwap,17,400,0.8176,0.9054,-0.0878,0.2041,0.29,0.5059,emotion_temporal,0.4556
FLOAT,TalkingFace,19,400,0.9079,0.4941,0.4138,0.329,0.4692,0.2018,emotion_static,0.8
SadTalker,TalkingFace,18,400,0.9499,0.6589,0.291,0.5102,0.3334,0.1563,quality,0.8726
EchoMimic,TalkingFace,17,400,0.9974,0.7228,0.2746,0.6369,0.1781,0.185,quality,0.9972
AniTalker,TalkingFace,19,400,0.9262,0.7567,0.1695,0.4211,0.4572,0.1217,emotion_static,0.8695
Real3DPortrait,TalkingFace,19,400,0.9986,0.897,0.1016,0.3129,0.4229,0.2642,emotion_static,0.9992
EDTalk,TalkingFace,18,400,0.9938,0.92,0.0738,0.2777,0.4318,0.2905,emotion_static,0.9904
IP_LAP,TalkingFace,18,400,0.9768,0.9389,0.0379,0.3167,0.3512,0.3321,emotion_static,0.936
